distance,heart_rate,timestamp
0.0,106,2025-10-12 12:22:31
50.1,108,2025-10-12 12:22:37
74.16,109,2025-10-12 12:22:40
97.25,112,2025-10-12 12:22:43
119.07,115,2025-10-12 12:22:46
124.8,115,2025-10-12 12:22:47
156.84,118,2025-10-12 12:22:51
181.89,118,2025-10-12 12:22:54
219.5,116,2025-10-12 12:22:58
229.69,116,2025-10-12 12:22:59
240.3,115,2025-10-12 12:23:00
292.5,113,2025-10-12 12:23:05
335.34,112,2025-10-12 12:23:10
341.6,112,2025-10-12 12:23:11
347.24,111,2025-10-12 12:23:12
357.69,110,2025-10-12 12:23:14
362.59,109,2025-10-12 12:23:15
367.37,108,2025-10-12 12:23:16
375.48,109,2025-10-12 12:23:18
380.18,109,2025-10-12 12:23:19
386.1,109,2025-10-12 12:23:20
392.92,108,2025-10-12 12:23:21
399.86,108,2025-10-12 12:23:22
420.47,109,2025-10-12 12:23:25
455.6,112,2025-10-12 12:23:30
470.6,112,2025-10-12 12:23:32
520.94,114,2025-10-12 12:23:39
528.23,115,2025-10-12 12:23:40
543.27,116,2025-10-12 12:23:42
566.29,117,2025-10-12 12:23:45
574.23,118,2025-10-12 12:23:46
582.05,118,2025-10-12 12:23:47
605.4,120,2025-10-12 12:23:50
627.36,121,2025-10-12 12:23:53
634.39,122,2025-10-12 12:23:54
641.42,122,2025-10-12 12:23:55
654.96,123,2025-10-12 12:23:57
661.85,124,2025-10-12 12:23:58
675.87,125,2025-10-12 12:24:00
682.73,125,2025-10-12 12:24:01
696.14,126,2025-10-12 12:24:03
716.19,128,2025-10-12 12:24:06
736.0,130,2025-10-12 12:24:09
742.8,130,2025-10-12 12:24:10
749.66,131,2025-10-12 12:24:11
784.19,132,2025-10-12 12:24:16
804.4,134,2025-10-12 12:24:19
811.29,134,2025-10-12 12:24:20
818.39,134,2025-10-12 12:24:21
859.43,137,2025-10-12 12:24:27
873.22,138,2025-10-12 12:24:29
917.94,138,2025-10-12 12:24:36
923.95,138,2025-10-12 12:24:37
954.12,138,2025-10-12 12:24:42
981.33,138,2025-10-12 12:24:46
988.46,139,2025-10-12 12:24:47
1018.0,140,2025-10-12 12:24:51
1034.47,140,2025-10-12 12:24:53
1096.57,139,2025-10-12 12:25:00
1105.83,139,2025-10-12 12:25:01
1151.46,137,2025-10-12 12:25:06
1178.55,135,2025-10-12 12:25:09
1197.05,134,2025-10-12 12:25:11
1224.71,133,2025-10-12 12:25:14
1243.54,132,2025-10-12 12:25:16
1289.57,129,2025-10-12 12:25:21
1298.65,128,2025-10-12 12:25:22
1326.46,124,2025-10-12 12:25:25
1345.31,120,2025-10-12 12:25:27
1363.66,118,2025-10-12 12:25:29
1372.84,117,2025-10-12 12:25:30
1409.8,114,2025-10-12 12:25:34
1428.3,116,2025-10-12 12:25:36
1446.91,116,2025-10-12 12:25:38
1482.51,118,2025-10-12 12:25:42
1508.86,121,2025-10-12 12:25:45
1525.15,121,2025-10-12 12:25:47
1532.93,121,2025-10-12 12:25:48
1540.67,120,2025-10-12 12:25:49
1568.61,118,2025-10-12 12:25:53
1574.54,117,2025-10-12 12:25:54
1591.34,115,2025-10-12 12:25:57
1596.54,115,2025-10-12 12:25:58
1602.38,114,2025-10-12 12:25:59
1616.23,115,2025-10-12 12:26:01
1655.15,118,2025-10-12 12:26:06
1663.79,118,2025-10-12 12:26:07
1672.66,118,2025-10-12 12:26:08
1718.22,115,2025-10-12 12:26:13
1727.58,115,2025-10-12 12:26:14
1746.71,114,2025-10-12 12:26:16
1796.27,115,2025-10-12 12:26:21
1806.44,115,2025-10-12 12:26:22
1858.26,118,2025-10-12 12:26:27
1889.44,118,2025-10-12 12:26:30
1899.5,118,2025-10-12 12:26:31
1919.15,117,2025-10-12 12:26:33
1939.11,117,2025-10-12 12:26:35
1958.86,117,2025-10-12 12:26:37
2008.04,117,2025-10-12 12:26:42
2057.24,116,2025-10-12 12:26:47
2121.72,118,2025-10-12 12:26:54
2139.71,118,2025-10-12 12:26:56
2176.15,120,2025-10-12 12:27:00
2222.7,121,2025-10-12 12:27:05
2282.68,122,2025-10-12 12:27:11
2292.7,122,2025-10-12 12:27:12
2352.82,121,2025-10-12 12:27:18
2423.29,122,2025-10-12 12:27:25
2433.73,121,2025-10-12 12:27:26
2444.32,121,2025-10-12 12:27:27
2465.6,119,2025-10-12 12:27:29
2519.02,119,2025-10-12 12:27:34
2540.38,119,2025-10-12 12:27:36
2571.73,120,2025-10-12 12:27:39
2611.02,119,2025-10-12 12:27:43
2620.73,119,2025-10-12 12:27:44
2666.32,120,2025-10-12 12:27:49
2683.47,120,2025-10-12 12:27:51
2707.59,120,2025-10-12 12:27:54
2723.39,120,2025-10-12 12:27:56
2738.91,121,2025-10-12 12:27:58
2753.92,122,2025-10-12 12:28:00
2776.26,123,2025-10-12 12:28:03
2783.75,123,2025-10-12 12:28:04
2798.94,124,2025-10-12 12:28:06
2806.31,125,2025-10-12 12:28:07
2863.06,127,2025-10-12 12:28:15
2923.84,129,2025-10-12 12:28:24
