"t";"v_ms";"heading_deg"
"0,0";"0,0";"9,443972374597797"
"1,0";"0,0";"9,443972374597797"
"2,0";"0,0";"11,8763432197938"
"5,0";"5,96";"18,111989009659677"
"6,0";"5,58";"19,160744387019196"
"7,0";"5,38";"10,89705256375841"
"8,0";"5,183";"11,322810347634384"
"12,0";"4,34";"10,801998335921033"
"13,0";"4,24";"6,976429283899423"
"15,0";"4,3";"4,459428345970619"
"18,0";"4,82";"0,7474272358749968"
"19,0";"4,75";"0,8788600442803549"
"25,0";"3,786";"352,0286089549889"
"29,0";"2,55";"359,80694827582"
"34,0";"2,233";"10,205601681556079"
"36,0";"3,429";"5,392068507847524"
"42,0";"4,012";"346,0071386950134"
"43,0";"4,343";"334,07275919293164"
"44,0";"4,487";"321,45810864246414"
"46,0";"4,67";"304,00871110062377"
"47,0";"5,28";"291,85705848513675"
"49,0";"4,86";"288,90519029049585"
"51,0";"4,28";"290,6069323653851"
"53,0";"3,983";"289,6652529517847"
"54,0";"3,64";"294,3981990947459"
"55,0";"3,567";"297,54048201466276"
"56,0";"3,34";"302,0998644546909"
"58,0";"3,18";"308,802045190294"
"60,0";"3,18";"306,5054378623092"
"63,0";"3,56";"302,5044553054438"
"66,0";"3,933";"303,4275598243611"
"68,0";"4,28";"308,6613965873997"
"71,0";"4,72";"306,1316436035596"
"72,0";"4,733";"309,19709288364794"
"76,0";"5,12";"313,67230608688595"
"77,0";"5,26";"308,9340032125757"
"80,0";"5,438";"304,16036255522397"
"83,0";"5,733";"312,2538075813407"
"86,0";"5,9";"308,8699004292656"
"91,0";"6,075";"307,639062773766"
"96,0";"6,04";"309,0014573634859"
"99,0";"6,037";"311,741852623471"
"101,0";"5,96";"310,7089931931446"
"108,0";"5,822";"312,5297403976074"
"109,0";"5,825";"313,33472583759806"
"111,0";"5,83";"305,5979405324506"
"113,0";"5,74";"304,662724140274"
"119,0";"5,762";"306,4674059422956"
"122,0";"5,822";"307,5409297881432"
"125,0";"5,833";"311,28279284882814"
"127,0";"5,74";"311,2369335614849"
"128,0";"5,717";"311,6845432077493"
"132,0";"5,64";"307,91314260033187"
"134,0";"5,683";"307,8975211455419"
"140,0";"5,925";"309,4737102679466"
"143,0";"6,044";"309,8021986487383"
"148,0";"6,25";"307,4805441775962"
"158,0";"6,333";"313,4241986650129"
"159,0";"6,345";"311,04289786297676"
"164,0";"6,433";"309,29403851957636"
"169,0";"6,47";"310,3732303869312"
"172,0";"6,388";"306,7697483544101"
"177,0";"5,987";"304,4394786575838"
"178,0";"5,85";"311,2339722056082"
"185,0";"5,888";"307,18848435975656"
"192,0";"5,843";"306,3964611055667"
"194,0";"5,756";"295,6873044448913"
"200,0";"5,863";"287,6903372164782"
"203,0";"5,967";"282,5520350827303"
"207,0";"5,586";"278,2347954733825"
"209,0";"5,067";"279,2239351448509"
"212,0";"4,52";"276,2042129176921"
"215,0";"4,267";"279,8402202665228"
"216,0";"4,229";"276,19015962388505"
"222,0";"4,114";"270,0001842424104"
"228,0";"4,092";"277,22804893293795"
"230,0";"4,15";"271,3344412647109"
"235,0";"4,686";"263,14984691446784"
"237,0";"4,886";"252,38550491104291"
"240,0";"5,52";"250,55629845233517"
