"cda","crr","precision_watt"
"0.28","0.003","149.122031315178"
"0.28","0.0035","151.571297907355"
"0.28","0.004","154.020564499532"
"0.28","0.005","158.919097683886"
"0.28","0.006","163.81763086824"
"0.29","0.003","152.506990011903"
"0.29","0.0035","154.95625660408"
"0.29","0.004","157.405523196258"
"0.29","0.005","162.304056380611"
"0.29","0.006","167.202589564966"
"0.3","0.003","155.891948708628"
"0.3","0.0035","158.341215300806"
"0.3","0.004","160.790481892983"
"0.3","0.005","165.689015077337"
"0.3","0.006","170.587548261691"
"0.31","0.003","159.276907405354"
"0.31","0.0035","161.726173997531"
"0.31","0.004","164.175440589708"
"0.31","0.005","169.073973774063"
"0.31","0.006","173.972506958417"
"0.32","0.003","162.66186610208"
"0.32","0.0035","165.111132694257"
"0.32","0.004","167.560399286434"
"0.32","0.005","172.458932470788"
"0.32","0.006","177.357465655142"
