sid,cda,crr,weight_kg,crank_eff_pct,precision_watt,drag_watt,rolling_watt,total_watt,weather_applied,calibrated,calibration_mae,calibration_status,profile_version,source,repr_kind,debug_reason
local,0.28,0.003,70.0,96.0,147.56867682231132,123.75557257453632,15.846102338098639,141.66592974941886,True,False,,not_available,v1-f8aabfcd94d9-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,70.0,95.0,149.12203131517776,123.75557257453632,15.846102338098639,141.66592974941886,True,False,,not_available,v1-02260f9b769a-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,70.0,93.0,152.32895671980523,123.75557257453632,15.846102338098639,141.66592974941886,True,False,,not_available,v1-8dd29e119031-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,70.0,90.0,157.4065886104654,123.75557257453632,15.846102338098639,141.66592974941886,True,False,,not_available,v1-4e6b18386ae7-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,78.0,96.0,147.56867682231132,123.75557257453632,17.65708546245278,141.66592974941886,True,False,,not_available,v1-563f0ac61e7c-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,78.0,95.0,149.12203131517776,123.75557257453632,17.65708546245278,141.66592974941886,True,False,,not_available,v1-2997009696e7-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,78.0,93.0,152.32895671980523,123.75557257453632,17.65708546245278,141.66592974941886,True,False,,not_available,v1-7da2209f2d8d-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,78.0,90.0,157.4065886104654,123.75557257453632,17.65708546245278,141.66592974941886,True,False,,not_available,v1-a317f464733f-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,85.0,96.0,147.56867682231132,123.75557257453632,19.241695696262674,141.66592974941886,True,False,,not_available,v1-37932d457551-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,85.0,95.0,149.12203131517776,123.75557257453632,19.241695696262674,141.66592974941886,True,False,,not_available,v1-b9f7884588ae-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,85.0,93.0,152.32895671980523,123.75557257453632,19.241695696262674,141.66592974941886,True,False,,not_available,v1-123faf50e1aa-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,85.0,90.0,157.4065886104654,123.75557257453632,19.241695696262674,141.66592974941886,True,False,,not_available,v1-8a18983b1479-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,90.0,96.0,147.56867682231132,123.75557257453632,20.373560148984,141.66592974941886,True,False,,not_available,v1-584eb468e2c8-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,90.0,95.0,149.12203131517776,123.75557257453632,20.373560148984,141.66592974941886,True,False,,not_available,v1-b8322d3ea1f0-20251111,rust_1arg,object_v3,ok
local,0.28,0.003,90.0,93.0,152.32895671980523,123.75557257453632,20.373560148984,141.66592974941886,True,False,,not_available,v1-6e983916776a-20251111,rust_1arg,object_v3,ok
